zpid,address,cityname,state,zipcode,latitude,longitude,title,listingStatus,minPrice,maxPrice,bedrooms
450791021,4101 Raleigh St,Charlotte,NC,28206,35.25288,-80.79289,Sorella Apartments,forRent,1398,2261,1
450791021,4101 Raleigh St,Charlotte,NC,28206,35.25288,-80.79289,Sorella Apartments,forRent,1899,2261,2
2077199036,1250 W Highway 287 Byp,Waxahachie,TX,75165,32.42164,-96.84539,Hunter's Cove Apartments,forRent,1269,2404,1
2077199036,1250 W Highway 287 Byp,Waxahachie,TX,75165,32.42164,-96.84539,Hunter's Cove Apartments,forRent,1599,2404,2
2077199036,1250 W Highway 287 Byp,Waxahachie,TX,75165,32.42164,-96.84539,Hunter's Cove Apartments,forRent,2184,2404,3
452217252,3967 Peachtree Rd #9843,Atlanta,GA,30319,33.857887,-84.341125,"Atlanta - Lenox, Plan A",,,,
407832989,3622 S Railroad St,Phenix City,AL,36867,32.49813,-85.04056,Lakewood Station,forRent,1313,1739,1
407832989,3622 S Railroad St,Phenix City,AL,36867,32.49813,-85.04056,Lakewood Station,forRent,1419,1739,2
407832989,3622 S Railroad St,Phenix City,AL,36867,32.49813,-85.04056,Lakewood Station,forRent,1739,1739,3
2055332219,7850 Communications Pkwy,Plano,TX,75024,33.083942,-96.82708,Instrata at Legacy West,forRent,2062,3870,1
2055332219,7850 Communications Pkwy,Plano,TX,75024,33.083942,-96.82708,Instrata at Legacy West,forRent,3870,3870,2
2084266993,10602 Stone Canyon Rd,Dallas,TX,75230,32.89214,-96.77406,The Summit at Midtown,forRent,920,1060,1
2079090159,4401 Barclay Downs Dr,Charlotte,NC,28209,35.1525,-80.83586,Hazel Southpark,forRent,1317,4316,0
2079090159,4401 Barclay Downs Dr,Charlotte,NC,28209,35.1525,-80.83586,Hazel Southpark,forRent,1703,4316,1
2079090159,4401 Barclay Downs Dr,Charlotte,NC,28209,35.1525,-80.83586,Hazel Southpark,forRent,2390,4316,2
2079090159,4401 Barclay Downs Dr,Charlotte,NC,28209,35.1525,-80.83586,Hazel Southpark,forRent,3541,4316,3
2057199201,62 N Main St,Memphis,TN,38103,35.145943,-90.05181,Court Square Apartments,forRent,1550,1875,1
2057199201,62 N Main St,Memphis,TN,38103,35.145943,-90.05181,Court Square Apartments,forRent,1626,1875,2
443713279,2301 Willet Pl,Melbourne,FL,32940,28.258759,-80.72967,Linz of Viera,forRent,1909,3220,1
443713279,2301 Willet Pl,Melbourne,FL,32940,28.258759,-80.72967,Linz of Viera,forRent,2354,3220,2
443713279,2301 Willet Pl,Melbourne,FL,32940,28.258759,-80.72967,Linz of Viera,forRent,2920,3220,3
2087350190,10420 McKinley Dr,Tampa,FL,33612,28.045347,-82.41814,Cortland Lakecrest,forRent,1630,3002,1
2087350190,10420 McKinley Dr,Tampa,FL,33612,28.045347,-82.41814,Cortland Lakecrest,forRent,1987,3002,2
2087350190,10420 McKinley Dr,Tampa,FL,33612,28.045347,-82.41814,Cortland Lakecrest,forRent,2506,3002,3
458688422,2275 Hawes Ave,Dallas,TX,75235,32.827526,-96.84898,Lantower West Love,forRent,1480,3645,0
458688422,2275 Hawes Ave,Dallas,TX,75235,32.827526,-96.84898,Lantower West Love,forRent,1769,3645,1
458688422,2275 Hawes Ave,Dallas,TX,75235,32.827526,-96.84898,Lantower West Love,forRent,2481,3645,2
458688422,2275 Hawes Ave,Dallas,TX,75235,32.827526,-96.84898,Lantower West Love,forRent,3505,3645,3
442828165,1525 Fm 982,Princeton,TX,75407,33.155167,-96.49482,Oxenfree Princeton,forRent,1799,2849,2
442828165,1525 Fm 982,Princeton,TX,75407,33.155167,-96.49482,Oxenfree Princeton,forRent,1948,2849,3
442828165,1525 Fm 982,Princeton,TX,75407,33.155167,-96.49482,Oxenfree Princeton,forRent,2255,2849,4
453289798,16000 Bent Tree Forest Cir,Dallas,TX,75248,32.96732,-96.81364,Bent Oaks Apartments,forRent,1275,1870,1
453289798,16000 Bent Tree Forest Cir,Dallas,TX,75248,32.96732,-96.81364,Bent Oaks Apartments,forRent,1500,1870,2
457692512,5111 N Travis St,Sherman,TX,75092,33.68467,-96.62134,Northside on Travis,forRent,1029,1674,1
457692512,5111 N Travis St,Sherman,TX,75092,33.68467,-96.62134,Northside on Travis,forRent,1249,1674,2
457692512,5111 N Travis St,Sherman,TX,75092,33.68467,-96.62134,Northside on Travis,forRent,1674,1674,3
436817898,5605 Village Glen Dr,Dallas,TX,75206,32.858253,-96.762566,The Village Dallas,forRent,1217,4353,1
436817898,5605 Village Glen Dr,Dallas,TX,75206,32.858253,-96.762566,The Village Dallas,forRent,1521,4353,2
436817898,5605 Village Glen Dr,Dallas,TX,75206,32.858253,-96.762566,The Village Dallas,forRent,2365,4353,3
458699585,3601 James Pitts Dr,McKinney,TX,75071,33.235744,-96.635666,Ascend at McKinney North,forRent,1167,2300,1
458699585,3601 James Pitts Dr,McKinney,TX,75071,33.235744,-96.635666,Ascend at McKinney North,forRent,1629,2300,2
458699585,3601 James Pitts Dr,McKinney,TX,75071,33.235744,-96.635666,Ascend at McKinney North,forRent,2272,2300,3
455625199,35 Crystal Palm Blvd,Saint Johns,FL,32259,30.078316,-81.48454,Sentosa Beachwalk,forRent,1499,2607,1
